"","DateTime","CU.GTBY..BHZ.M"
"537",2010-01-12 21:08:56,-444.275
"538",2010-01-12 21:08:57,1847.575
"539",2010-01-12 21:08:58,-1910.3
"540",2010-01-12 21:08:59,-1480.675
"541",2010-01-12 21:09:00,1673.15
"542",2010-01-12 21:09:01,-1380.975
"543",2010-01-12 21:09:02,-3720
"544",2010-01-12 21:09:03,2049.075
"545",2010-01-12 21:09:04,1571.375
"546",2010-01-12 21:09:05,-2411.75
"547",2010-01-12 21:09:06,-1590.55
"548",2010-01-12 21:09:07,950.6
"549",2010-01-12 21:09:08,-291.575
"550",2010-01-12 21:09:09,-1859.075
"551",2010-01-12 21:09:10,207.625
"552",2010-01-12 21:09:11,233.35
"553",2010-01-12 21:09:12,-2272.825
"554",2010-01-12 21:09:13,699.625
"555",2010-01-12 21:09:14,-688.4
"556",2010-01-12 21:09:15,-264.025
"557",2010-01-12 21:09:16,-107.1
"558",2010-01-12 21:09:17,-1683.15
"559",2010-01-12 21:09:18,-884.85
"560",2010-01-12 21:09:19,1622.6
"561",2010-01-12 21:09:20,-2073.15
"562",2010-01-12 21:09:21,-549.275
"563",2010-01-12 21:09:22,-30.35
"564",2010-01-12 21:09:23,-633.775
"565",2010-01-12 21:09:24,43.95
"566",2010-01-12 21:09:25,106.8
"567",2010-01-12 21:09:26,-2314.675
"568",2010-01-12 21:09:27,-1775.6
"569",2010-01-12 21:09:28,1980.225
"570",2010-01-12 21:09:29,-364.375
"571",2010-01-12 21:09:30,-415.825
"572",2010-01-12 21:09:31,-1088.525
"573",2010-01-12 21:09:32,-1722.775
"574",2010-01-12 21:09:33,688.575
"575",2010-01-12 21:09:34,257.275
"576",2010-01-12 21:09:35,-1148.35
"577",2010-01-12 21:09:36,-1284.9
"578",2010-01-12 21:09:37,-293.7
"579",2010-01-12 21:09:38,-554.5
"580",2010-01-12 21:09:39,483.7
"581",2010-01-12 21:09:40,-229.6
"582",2010-01-12 21:09:41,-2328.475
"583",2010-01-12 21:09:42,-0.475
"584",2010-01-12 21:09:43,-303.925
"585",2010-01-12 21:09:44,37.75
"586",2010-01-12 21:09:45,-1384.525
"587",2010-01-12 21:09:46,-889.7
"588",2010-01-12 21:09:47,1213.425
"589",2010-01-12 21:09:48,-213.025
"590",2010-01-12 21:09:49,-1814.45
"591",2010-01-12 21:09:50,-1599.925
"592",2010-01-12 21:09:51,424.25
"593",2010-01-12 21:09:52,535.625
"594",2010-01-12 21:09:53,-1253.825
"595",2010-01-12 21:09:54,-773.775
"596",2010-01-12 21:09:55,93.4
"597",2010-01-12 21:09:56,1164.45
"598",2010-01-12 21:09:57,-2462.675
"599",2010-01-12 21:09:58,-2165.875
"600",2010-01-12 21:09:59,673.025
"601",2010-01-12 21:10:00,329.1
"602",2010-01-12 21:10:01,-630.375
"603",2010-01-12 21:10:02,-374.9
"604",2010-01-12 21:10:03,-480.825
"605",2010-01-12 21:10:04,-1311.2
"606",2010-01-12 21:10:05,-1133.5
"607",2010-01-12 21:10:06,-41.825
"608",2010-01-12 21:10:07,1282.25
"609",2010-01-12 21:10:08,-1405.975
"610",2010-01-12 21:10:09,-2149.075
"611",2010-01-12 21:10:10,1463.45
"612",2010-01-12 21:10:11,1049.3
"613",2010-01-12 21:10:12,-3801.575
"614",2010-01-12 21:10:13,-487.5
"615",2010-01-12 21:10:14,1274.5
"616",2010-01-12 21:10:15,-1330.2
"617",2010-01-12 21:10:16,-526.05
"618",2010-01-12 21:10:17,-615.35
"619",2010-01-12 21:10:18,-535.15
"620",2010-01-12 21:10:19,16.325
"621",2010-01-12 21:10:20,-767.6
"622",2010-01-12 21:10:21,-1503.075
"623",2010-01-12 21:10:22,-62.125
"624",2010-01-12 21:10:23,426.575
"625",2010-01-12 21:10:24,-1580.675
"626",2010-01-12 21:10:25,-271.8
"627",2010-01-12 21:10:26,184.9
"628",2010-01-12 21:10:27,1352.35
"629",2010-01-12 21:10:28,-3203.925
"630",2010-01-12 21:10:29,-1830.925
"631",2010-01-12 21:10:30,2221.85
"632",2010-01-12 21:10:31,237.575
"633",2010-01-12 21:10:32,-2640.3
"634",2010-01-12 21:10:33,-1614.75
"635",2010-01-12 21:10:34,889.625
"636",2010-01-12 21:10:35,-405.55
"637",2010-01-12 21:10:36,-302.175
"638",2010-01-12 21:10:37,-914.475
"639",2010-01-12 21:10:38,-1029.9
"640",2010-01-12 21:10:39,787.15
"641",2010-01-12 21:10:40,-407.6
"642",2010-01-12 21:10:41,-2785.15
"643",2010-01-12 21:10:42,-593.625
"644",2010-01-12 21:10:43,3139.1
"645",2010-01-12 21:10:44,-236.025
"646",2010-01-12 21:10:45,-3219.35
